STNAME,CBSAFP,CBSA,POPESTIMATE2019,area_km2,charging_locations,level2,dcfc,charging_locations_per_100kpeople,charging_locations_per_1000km2,level2_per_100kpeople,level2_per_1000km2,dcfc_per_100kpeople,dcfc_per_1000km2
Texas,13140,"Beaumont-Port Arthur, TX",392563,5440.906516999999,7,9,4,1.7831532773083556,1.286550316225549,2.2926256422535998,1.6541361208614203,1.018944729890489,0.7351716092717423
Texas,14780,"Brenham, TX",35882,1564.854987,3,8,0,8.36073797447188,1.9171105469340208,22.29530126525835,5.1122947918240556,0,0
Texas,15180,"Brownsville-Harlingen, TX",423163,2309.34104,8,17,2,1.8905244551154046,3.4641916726167046,4.017364467120235,7.361407304310498,0.47263111377885114,0.8660479181541761
Texas,17780,"College Station-Bryan, TX",229211,1518.090963,14,31,0,6.107909306272387,9.222108780842534,13.524656321031713,20.420383729008467,0,0
Texas,18580,"Corpus Christi, TX",429024,3967.167792,14,39,0,3.263220705601552,3.528965935908163,9.090400537032894,9.830690821458452,0,0
Texas,18620,"Corsicana, TX",50113,2614.975609,1,0,10,1.9954901921657056,0.3824127447148208,0,0,19.954901921657054,3.824127447148208
Texas,19100,"Dallas-Fort Worth-Arlington, TX",7366998,18101.280091,419,975,146,5.687526995392153,23.147534201646206,13.234698855626133,53.86359390597863,1.981811315816836,8.065727907972185
Texas,19620,"Del Rio, TX",49025,8144.863666,1,1,0,2.039775624681285,0.12277676349260576,2.039775624681285,0.12277676349260576,0,0
Texas,20300,"Dumas, TX",20940,2330.207191,2,16,0,9.551098376313277,0.8582927765928434,76.40878701050622,6.866342212742747,0,0
Texas,20580,"Eagle Pass, TX",58722,3313.817729,1,2,0,1.702939273185518,0.30176674813728116,3.405878546371036,0.6035334962745623,0,0
Texas,20900,"El Campo, TX",41556,2813.11731,1,2,0,2.40639137549331,0.3554775325029016,4.81278275098662,0.7109550650058032,0,0
Texas,21340,"El Paso, TX",839238,2624.29765,23,46,13,2.740581336879407,8.764249741259341,5.481162673758814,17.528499482518683,1.5490242338883606,4.953706375494411
Texas,23240,"Fredericksburg, TX",26988,2740.729668,5,11,0,18.52675263079887,1.8243316947229835,40.75885578775752,4.013529728390564,0,0
Texas,24180,"Granbury, TX",61643,1089.630253,2,4,0,3.2444884252875426,1.8354850138324856,6.488976850575085,3.6709700276649713,0,0
Texas,26420,"Houston-The Woodlands-Sugar Land, TX",6934085,16866.322354,261,671,108,3.7640150070268827,15.474624196193044,9.676835516149572,39.783420826228095,1.5575234511835374,6.4032927708385
Texas,26660,"Huntsville, TX",72971,2031.124893,4,4,10,5.481629688506393,1.9693520638664146,5.481629688506393,1.9693520638664146,13.704074221265982,4.923380159666036
Texas,28500,"Kerrville, TX",52600,2857.60341,5,10,4,9.505703422053232,1.7497179568385242,19.011406844106464,3.4994359136770483,7.604562737642586,1.3997743654708192
Texas,28660,"Killeen-Temple, TX",384352,4569.335274,9,16,1,2.3416035300974105,1.9696519209721708,4.162850720173175,3.501603415061637,0.26017817001082344,0.2188502134413523
Texas,28780,"Kingsville, TX",30680,2282.572445,2,1,8,6.51890482398957,0.8762043914010362,3.259452411994785,0.4381021957005181,26.07561929595828,3.504817565604145
Texas,29700,"Laredo, TX",276652,8706.186717,3,3,8,1.084394835388864,0.34458254773494534,1.084394835388864,0.34458254773494534,2.891719561036971,0.9188867939598543
Texas,30980,"Longview, TX",190498,3039.191035,3,9,0,1.5748196831462795,0.9871047806641086,4.724459049438839,2.9613143419923253,0,0
Texas,31180,"Lubbock, TX",310569,2319.592469,6,8,1,1.931937830240623,2.586661269247292,2.575917106987497,3.4488816923297225,0.32198963837343714,0.4311102115412153
Texas,31260,"Lufkin, TX",86715,2066.264544,1,1,0,1.1532030213919162,0.48396513549235054,1.1532030213919162,0.48396513549235054,0,0
Texas,32580,"McAllen-Edinburg-Mission, TX",868707,4068.395785,9,16,8,1.0360225024087524,2.212174153061168,1.8418177820600041,3.9327540498865203,0.9209088910300021,1.9663770249432602
Texas,33260,"Midland, TX",176832,2331.915364,4,2,12,2.262034020991676,1.7153281211453093,1.131017010495838,0.8576640605726547,6.7861020629750275,5.145984363435928
Texas,34420,"Mount Pleasant, TX",32750,1051.697794,1,0,4,3.0534351145038165,0.9508434891706162,0,0,12.213740458015266,3.803373956682465
Texas,34860,"Nacogdoches, TX",65204,2451.572329,1,0,8,1.5336482424391142,0.40790148761709244,0,0,12.269185939512914,3.2632119009367395
Texas,37300,"Palestine, TX",57735,2752.201306,1,1,0,1.7320516151381309,0.36334551466854076,1.7320516151381309,0.36334551466854076,0,0
Texas,37780,"Pecos, TX",15976,6825.53432,3,3,12,18.778167250876315,0.43952602966327187,18.778167250876315,0.43952602966327187,75.11266900350526,1.7581041186530875
Texas,40530,"Rockport, TX",23510,652.856775,2,6,0,8.507018290089324,3.063459056544217,25.52105487026797,9.19037716963265,0,0
Texas,41660,"San Angelo, TX",119200,3941.965407,1,1,0,0.8389261744966442,0.25368056204253747,0.8389261744966442,0.25368056204253747,0,0
Texas,41700,"San Antonio-New Braunfels, TX",2448223,12349.755184,102,236,43,4.1662871396927486,8.259273036614392,9.639644754583223,19.109690555303885,1.756375951046943,3.48185039778842
Texas,43300,"Sherman-Denison, TX",136212,2416.026291,4,8,0,2.936598831233665,1.6556111226523071,5.87319766246733,3.3112222453046143,0,0
Texas,44860,"Sulphur Springs, TX",37084,1987.629163,1,0,8,2.696580735627225,0.5031119580126628,0,0,21.5726458850178,4.024895664101303
Texas,45020,"Sweetwater, TX",14714,2362.061742,2,0,11,13.59249694168819,0.8467179178417936,0,0,74.75873317928503,4.656948548129866
Texas,45500,"Texarkana, TX-AR",93245,2292.144474,1,0,8,1.072443562657515,0.4362726744946008,0,0,8.57954850126012,3.490181395956806
Texas,46340,"Tyler, TX",232751,2386.604273,6,9,8,2.5778621788950424,2.5140322037796,3.8667932683425636,3.7710483056694,3.437149571860057,3.3520429383728
Texas,46620,"Uvalde, TX",26741,4019.45575,1,2,0,3.739575932089301,0.24878990146862545,7.479151864178602,0.4975798029372509,0,0
